"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"z***8","PLUS会员","star5","还是非常漂亮的，试了试也挺好用。唯一的不足就是写着送加湿器，结果木有……","2018-12-06 21:34","1","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.5347302"
"兜***娘","PLUS会员","star5","昨天买的没想到今天货就到了，安装师傅非常好沟通，对我们怎么有利怎么来，非常满意，值得购买","2018-04-24 19:41","1","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.5947695"
"F***R",,"star5","制冷效果可以，一直用美的，不错，服务很好","2018-11-28 16:14","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.6307936"
"6***4",,"star5","很满意，高大上啊！赞赞赞赞赞赞","2018-12-11 20:43","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.6648163"
"q***o","PLUS会员","star5","送货和安装安排在了一天，安装的师傅快到了，送货还没到；好在安装和送货自己遇到了，安装师傅直接带着货来了。安装来了两个师傅，工作日只有老妈在家。家在10层，外机很重，老妈帮忙，三个人试了三次才搬出窗外，老妈说室外作业的师傅都累虚脱了，真是辛苦了。安装好后一分钱也没要，本以为要有高空作业费的，老妈觉得他们太辛苦主动给他们钱也没收。安好后，师傅说新机会有异响，需要静置磨合一段时间。就是塑料之间摩擦会时不时嘎巴一声，刚开始一会儿就响一下，一两周后声音逐渐减少，现在就开关机时偶尔会响。天冷试了试制热，开机有一段预热期才开始吹热风。风传的很远，默认风速20风声还是很明显的，降到10几风声就不明显了。关机再开又回到风速*，暂时不知怎么记忆上次设置，懒得看说明书了。还有遥控器设计的很小巧精致。总体很满意。","2018-12-10 15:03","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.7198531"
"j***浴",,"star5","这款美的空调真的是太满意了，外型美观又大气，买了好些天，把制热制冷都试了，效果都非常好，制冷时无风感，老公满意的一塌糊涂。京东发货快，售后安装也很快，真的比实体店方便又划算。美的空调的质量我是非常信赖的，之前1999年买了台挂机，用了整整十九年，制冷制热到现在还很好，至今没维修过，就是之前搬家时充了一次氟利昂(不知是不是这三个字)，所以这次一下买了三个挂机一台柜机，都很好。京东客服也非常信守承诺，保价双十一，让我买的称心放心安心，绝对值得信赖！","2018-12-14 13:22","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.7618815"
"Q***5","PLUS会员","star5","快递很快，送货上门，安装迅速，好评。","2018-12-13 13:34","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.8019080"
"j***9",,"star5","此用户未填写评价内容","2018-11-09 11:32","0","0","[购买31天后追评]","这款空调的外观更像是一件艺术品，给房间里增加了一份美意。性能方面没的说，吹一会整个屋子里就特别的暖和，如同春日。安装师傅很给力，一会就安装完了，水都没喝一口。美的值得信赖！","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.8469381"
"就***狂","PLUS会员","star5","空调挺好看的，物流真的快，第一天中午购买，接着就有人打电话来通知明天送到问有没有人接收，下午就有安装人员联系到货的时候通知他前来安装，从购买到收货到安装，一套服务一气呵成，完美。","2018-12-11 10:57","0","0","[购买3天后追评]","3p空调性能也非常给力，小风呼呼的，真暖和！","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.8979722"
"L***g","PLUS会员","star5","快递非常快，当天下午到的货，安装师傅就安排过来装机器了。安装好师傅马上调试了机器，跟我们家的家具很般配，刚开机生意大点，之后开暖风声音也小。安装师傅也非常专业，走时候卫生也帮忙收拾好了，也是零元安装，师傅来了也专门提醒了一下。制冷还有无风感。很棒！","2018-12-06 21:52","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:28.9440030"
"w***d",,"star5","观察了好久终于对这款机器下手了，性价比还是挺不错的。物流速度很快，客服很有耐心，因外机太大，售后第一次来量了具体尺寸，然后给我定做支架，很有责任心，就是等待安装后体验一下。赠送的东西也不错，老婆很喜欢。好评。","2018-12-11 20:47","0","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.1441686"
"D***歌","PLUS会员","star5","外观高端大气上档次，给人眼前一亮，来人都说漂亮，制热效果非常好，整个客厅40平米，10分钟全部热，内外机静音程度很好，几乎听不到声音，安装师傅非常专业，敬业，非常满意，值得购买。","2018-12-02 10:35","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.1781910"
"笨***巍","PLUS会员","star5","实物很漂亮。收得到很惊喜。安装师傅很细心，进门带脚套。安装完后还帮忙打扫。性能不错，我们客厅，饭厅是连在一起的，但是一点没有影响升温速度，升温很快。很满意的一次购物。","2018-12-11 12:19","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.2102127"
"莫***悠",,"star5","双十一的时候买的，价格很实惠，质量挺好的，也很漂亮，金色和白色相间，非常满意，五分好评，安装也很及时，物流送货上门！整体还是非常满意的！！～～～～","2018-11-26 19:09","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.2432348"
"s***0","PLUS会员","star5","空调很给力，风挺大噪音还小，冬天就试了试制热效果不错。","2018-12-10 22:38","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.2942723"
"j***9",,"star5","美的空调外观很高大上，我父母很喜欢，安装后试了一下感觉制热很快，还没试制冷。不过相信美的的质量。来安装的师傅人很好，真的是*元安装，没有收任何费用，三个师傅不到两个小时就安装好了。很满意","2018-11-29 15:57","1","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.3312937"
"x***3","PLUS会员","star5","空调看起来非常好看，比较现代化，大方美观。买的3匹的，制冷能力非常强，无风感，比较舒适。上门安装过程非常顺利，*元安装。加上双十一活动价格很好。总的来说这次购物非常满意。","2018-12-01 15:04","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.3693191"
"E***宝","PLUS会员","star5","空调到了，还不错！安装师傅人很好","2018-12-14 15:37","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.4103466"
"4***8",,"star5","刚装修的房子，等了好久买的这个空调，价格很优惠，外观高端大气很漂亮，而且还是无风感的，暖风确实很舒服，安装师傅工作特别认真，安装完的时候还把卫生打扫了。确实很负责任","2018-12-04 18:04","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.4553767"
"b***4",,"star5","送货很快，机器整体美观大方，使用起来制热速度非常快，不一会在客餐厅都能感觉到热风了，运行时声音很小，安装师傅全程很专业，没有收取额外费用，态度很好，安装到位","2018-11-27 13:19","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:44.4994061"
"j***6",,"star5","不错，非常美观，安装也很专业。","2018-12-13 15:52","0","0","[购买2天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.6855623"
"无***5","PLUS会员","star5","空调颜值在线，看起来不错。大品牌服务到位，师傅安装很辛苦，当天送货就安装了，服务特别到位，京东服务也非常好，一百个好评！","2018-12-08 14:33","0","0","[购买2天后追评]","物流很快，第二天就到货了，很漂亮，和家里的冰箱颜色也算搭配，试用了暖风，开开没过多会就暖了，还可以连接手机app挺方便的，安装师傅当天就来了，花了两个小时给安装上，非常辛苦，还要高空作业，看着就让人揪心，给安装师傅点赞。","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.7195851"
"j***℡",,"star5","物流和安装师傅都提前预约，服务态度好，安装后试了一下制热效果，暖风不错。制冷及其它功能暂时没试。期待好的生活。","2018-12-04 16:58","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.7526071"
"p***7","PLUS会员","star5","不错，制热快。","2018-12-06 01:50","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.7856292"
"j***4","PLUS会员","star5","新房还没入伙，看起来挺不错的，物流很快点赞?其他使用的好再追评吧，先给五颗星","2018-12-08 10:31","0","0","[购买18天后追评]","之前本来想买格力的，对比了几款最后看中这款性价比很高！挺专业人士说现在品牌空调都还可以，看来没错，相信美的质量，推荐！后期服务慢慢体验～","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.8376649"
"y***7","PLUS会员","star5","商品非常给力，已经用上了，一直信赖京东自营，送货快，售后好，会一直支持京东。","2018-12-13 10:54","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.8896988"
"j***a",,"star5","制热效果非常好，外观非常漂亮，安装和送货人员都特别好，完美","2018-12-10 15:54","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.9277243"
"j***y",,"star5","真不错！","2018-12-03 18:53","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:59.9677510"
"罗***2","PLUS会员","star5","双十一期间买的，性价比可以说很高了，还有免安装服务，看了许久的柜机，安装下来，试了机，制冷制热效果都非常好，老公很满意，还是超一级能效，外观也很漂亮。","2018-11-29 17:03","0","1","[购买19天后追评]","空调是真的好看，白色和金色很搭，看着很大气，制热制冷都很快，声音也很小，快递也很负责，安装人员也不用说，很准时的上门安装，必须赞一个！","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:00.0147825"
"j***p","PLUS会员","star5","此用户未填写评价内容","2018-12-02 15:59","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:00.0618142"
"3***7",,"star5","非常满意，配送快，按装速度","2018-10-30 18:04","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.2579777"
"s***q",,"star5","此用户未填写评价内容","2018-12-01 11:47","0","0","[购买6天后追评]","提交评价的时候点错了，现在追评一下。这款空调关注很久了，双十一的时候手速太慢，没抢到，后面享受到了专属价，优惠还是一样的。安装完成后制热效果很好，开了五分钟身上都出汗了，静音，一级能效省电，安装师傅服务很好，临走还带走了了垃圾，信任美的空调，家里装了2个挂机，1个柜机都是美的。","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.2909992"
"j***p",,"star5","此用户未填写评价内容","2018-11-27 16:11","0","0","[购买16天后追评]","美的这款舒适星外观很秀气，但是拍的时候还感觉太大了，实际安装后很好看，放墙边不显大，简约风。一级能效会比较省电吧，一直用着暖风，升温很快，静音效果很好。师傅配送服务也不错，很快，那么大件的东西拖来拖去。","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.3240210"
"无***逅","PLUS会员","star5","空调很漂亮，安装师傅服务也很快，希望使用后效果也棒棒的","2018-11-26 18:45","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.3560433"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:34","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.3900651"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:34","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.4280906"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:34","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.4651153"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:22","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.5041414"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:22","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.5471702"
"2***1",,"star5","物流特别快，！京东的送货速度一直是我最爱的，！再说商品质量，京东自营商品品质保证，没的说，送货师傅和安装师傅服务的也非常满意，态度非常好！非常满意的一次购物，以后还会经常来京东购买，好评！！","2018-12-11 15:14","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:15.5901990"
"徐***8",,"star5","空调很好，安装的师傅也很仔细认真，试了制热，效果很好","2018-12-14 14:14","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:30.7813585"
"j***d","PLUS会员[试用]","star5","安装及时，服务态度很好，满意","2018-12-02 17:50","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:30.8133799"
"猪***多","PLUS会员","star5","安装师傅技术、服务一流！","2018-12-14 16:06","0","0","[购买2天后追评]","一直用美的，把99年买的柜机换掉，左挑右选选中美的这款机。安装好后，试用了一会儿，总体感觉还可以，毕竟是三匹空调，制冷制热速度都超级快。希望质量能和我换掉的老美的机一样好。","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:30.8454013"
"j***3",,"star5","送货速度快，安装人员服务很好，京东购物放心省心","2018-11-28 16:12","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:17:30.8774227"
